,competency_cluster,competency_unit,competency,demonstrated,competency_unit_name,competency_name,competency_cluster_name
0,3 ETHICS AND RESP INNOV,3.1 ANI,3.1.01,0,3.1 Anticipating Impact,3.1.01 Foresight / forecasting impact,3 Ethics and Responsible Innovation
1,3 ETHICS AND RESP INNOV,3.1 ANI,3.1.02,0,3.1 Anticipating Impact,3.1.02 Bias in data collection and sampling,3 Ethics and Responsible Innovation
2,3 ETHICS AND RESP INNOV,3.1 ANI,3.1.03,1,3.1 Anticipating Impact,3.1.03 Public value concept,3 Ethics and Responsible Innovation
3,3 ETHICS AND RESP INNOV,3.1 ANI,3.1.04,1,3.1 Anticipating Impact,3.1.04 Digital rights,3 Ethics and Responsible Innovation
4,3 ETHICS AND RESP INNOV,3.1 ANI,3.1.05,0,3.1 Anticipating Impact,3.1.05 Back-casting,3 Ethics and Responsible Innovation
5,3 ETHICS AND RESP INNOV,3.1 ANI,3.1.06,0,3.1 Anticipating Impact,3.1.06 Landscape of data ethics frameworks,3 Ethics and Responsible Innovation
8,3 ETHICS AND RESP INNOV,3.2 RCM,3.2.01,1,3.2 Reflecting on Causes and Mechanisms,3.2.01 Agents (entities with agency) and behaviours,3 Ethics and Responsible Innovation
9,3 ETHICS AND RESP INNOV,3.2 RCM,3.2.02,1,3.2 Reflecting on Causes and Mechanisms,3.2.02 Marco-environment of global markets,3 Ethics and Responsible Innovation
10,3 ETHICS AND RESP INNOV,3.2 RCM,3.2.03,0,3.2 Reflecting on Causes and Mechanisms,"3.2.03 Assumptions, beliefs and values",3 Ethics and Responsible Innovation
11,3 ETHICS AND RESP INNOV,3.2 RCM,3.2.04,1,3.2 Reflecting on Causes and Mechanisms,3.2.04 Principles of critical thinking,3 Ethics and Responsible Innovation
12,3 ETHICS AND RESP INNOV,3.2 RCM,3.2.05,0,3.2 Reflecting on Causes and Mechanisms,3.2.05 Macro environment of culture and practices,3 Ethics and Responsible Innovation
13,3 ETHICS AND RESP INNOV,3.3 DLO,3.3.01,1,3.3 Deliberating Options,3.3.01 Openness and inclusion,3 Ethics and Responsible Innovation
